project,month,days_t,net_tvl,borrowed,supply,util,days_f,fees,revenue,holders_rev,supply_side_rev,protocol_rev,ann,rev_to_supply,rev_to_borrow,fees_to_borrow,take,passthru,holders_share
compound-v3,2026-01,31,1681493348,836498634,2517991982,0.3322,31,2676997,0,0,2676997,0,11.774193548387096,0.0,0.0,3.768025376889212,0.0,100.0,
compound-v3,2026-02,28,1275456743,590156125,1865612869,0.3163,28,1468925,0,0,1468925,0,13.035714285714286,0.0,0.0,3.2446476103493564,0.0,100.0,
compound-v3,2026-03,31,1296261617,535491217,1831752834,0.2923,31,1472023,0,0,1472023,0,11.774193548387096,0.0,0.0,3.236632676587377,0.0,100.0,
compound-v3,2026-04,30,1343341920,573066727,1916408647,0.299,30,1788662,0,0,1788662,0,12.166666666666666,0.0,0.0,3.7974730180650207,0.0,100.0,
compound-v3,2026-05,31,1262733627,584358553,1847092180,0.3164,31,1821272,19702,0,1801572,19702,11.774193548387096,0.012558937978413324,0.03969740155242026,3.669666324240156,1.0817714212923715,98.91833839206883,0.0
compound-v3,2026-06,30,1065153066,547336131,1612489197,0.3394,30,1590264,75325,0,1514941,75325,12.166666666666666,0.056834747691439355,0.1674390040709128,3.5349780334527194,4.7366349235095555,95.26349084177218,0.0
compound-v3,2026-07,31,1136675719,558934737,1695610455,0.3296,31,1804022,112265,0,1691741,112265,11.774193548387096,0.07795598539817197,0.23649090872476536,3.8002476474365885,6.223039408610316,93.77607368424553,0.0
compound-v3,2026-08,31,1231666074,580373345,1812039419,0.3203,31,2142174,180260,0,1961922,180260,11.774193548387096,0.11712858488495485,0.36569841591058216,4.345887265088402,8.414815976666695,91.58555747572325,0.0
sparklend,2024-07,31,2908004055,1635441920,4543445976,0.36,24,6399059,58096,0,6340958,58096,15.208333333333334,0.019446546475967903,0.054024745393179925,5.950625399871533,0.9078834872439838,99.09203837626751,0.0
sparklend,2024-08,31,2511758831,1554908358,4066667189,0.3824,31,9829270,313918,0,9515350,313918,11.774193548387096,0.09088846267824205,0.23770733955515727,7.4429934615706035,3.1937061450138207,96.80627350759518,0.0
sparklend,2024-09,30,2314627403,1483191616,3797819019,0.3905,30,6672738,72405,0,6600337,72405,12.166666666666666,0.02319561557812084,0.05939404528025595,5.473667604658305,1.0850868114408208,98.9149731339669,0.0
sparklend,2024-10,31,2374226628,1489621899,3863848527,0.3855,31,6456437,70422,0,6386015,70422,11.774193548387096,0.021459491806432196,0.05566259858432144,5.103264051233428,1.0907254264232735,98.90927457357672,0.0
sparklend,2024-11,30,3633758656,2185824002,5819582658,0.3756,30,9977870,99522,0,9878345,99522,12.166666666666666,0.020806491997076123,0.055395631070575095,5.553851463899028,0.9974273066295712,99.00254262683318,0.0
sparklend,2024-12,31,4684644944,2765221392,7449866336,0.3712,31,18596707,135017,0,18461689,135017,11.774193548387096,0.021338856546198583,0.057489656883233764,7.918397717235841,0.7260263873598697,99.27396823534403,0.0
sparklend,2025-01,31,3683016711,2051607703,5734624414,0.3578,31,14603809,108576,0,14495225,108576,11.774193548387096,0.02229256436722723,0.06231185605514747,8.381138043995605,0.7434772667870416,99.25646795298405,0.0
sparklend,2025-02,28,3003994060,1719775170,4723769230,0.3641,28,9464781,118184,0,9346597,118184,13.035714285714286,0.03261405843788134,0.08958222470108446,7.174204107904242,1.2486712582150605,98.75132874178493,0.0
sparklend,2025-03,31,2378700033,1485438296,3864138329,0.3844,31,6546499,86076,0,6460423,86076,11.774193548387096,0.02622772265332553,0.06822737010349487,5.189023771494482,1.3148401916810801,98.68515980831893,0.0
sparklend,2025-04,30,2080105697,1333920070,3414025766,0.3907,30,6165792,205296,0,5960495,205296,12.166666666666666,0.07316195515789789,0.18725020008132873,5.623810428161562,3.3295965871051116,96.67038719437826,0.0
sparklend,2025-05,31,2877256403,1487981732,4365238136,0.3409,31,5240706,89761,0,5150948,89761,11.774193548387096,0.024210898791084283,0.07102663724750446,4.146898140426468,1.7127654174838276,98.2872918267119,0.0
sparklend,2025-06,30,3310445104,1641849474,4952294577,0.3315,30,5168099,287097,0,4881001,287097,12.166666666666666,0.07053323354839681,0.2127487053663971,3.8297382816796106,5.555176090860488,94.44480455966497,0.0
sparklend,2025-07,31,4137735649,2011471984,6149207633,0.3271,31,6897341,588223,0,6309123,588223,11.774193548387096,0.11262998202313104,0.3443175697550706,4.037373055613276,8.528257483572292,91.4718150081314,0.0
sparklend,2025-08,31,5018438515,2252433243,7270871758,0.3098,31,7638691,653499,0,6985193,653499,11.774193548387096,0.10582532556995511,0.3416049613718749,3.992989651073205,8.555117624210745,91.44489546703748,0.0
sparklend,2025-09,30,5271241590,2230098838,7501340428,0.2973,30,7227841,625879,0,6601962,625879,12.166666666666666,0.10151333937922521,0.34145846080507514,3.9432661309994663,8.659280136350537,91.34071986364947,0.0
sparklend,2025-10,31,5860202181,2482411032,8342613213,0.2976,31,9583290,677782,0,8905511,677782,11.774193548387096,0.09565751459239925,0.32147522504294535,4.5454000097403116,7.07253980626695,92.92749149822242,0.0
sparklend,2025-11,30,4694865873,2016394155,6711260028,0.3004,30,6636420,452234,0,6184181,452234,12.166666666666666,0.08198431159540423,0.2728722615908065,4.004331682859892,6.814427055551035,93.1854976026231,0.0
sparklend,2025-12,31,3331315388,1334470874,4665786262,0.286,31,4241481,262507,0,3978965,262507,11.774193548387096,0.06624410232803012,0.2316130150178498,3.742308595774302,6.189041044861453,93.81074676510399,0.0
sparklend,2026-01,31,3501562779,1483214756,4984777536,0.2975,31,4803631,318455,0,4485172,318455,11.774193548387096,0.07522002294731119,0.25279891474135335,3.8132631097578056,6.629464253186808,93.3704524764704,0.0
sparklend,2026-02,28,2475824001,1284652831,3760476832,0.3416,28,3671317,257254,0,3414059,257254,13.035714285714286,0.08917724513871285,0.261042482601834,3.725383100353415,7.0071312283848,92.99275981888788,0.0
sparklend,2026-03,31,2084489566,982000678,3066490244,0.3202,31,2865898,176210,487032,2689689,176210,11.774193548387096,0.06765815248298211,0.2112758872414231,3.436213283544748,6.148509123492881,93.85152576958427,276.392940241757
sparklend,2026-04,30,2495393759,1201216374,3696610132,0.325,30,3739971,202479,383472,3537460,202479,12.166666666666666,0.06664198852550242,0.20508332664469658,3.7880752781013958,5.413918984933306,94.58522539345894,189.38852918080394
sparklend,2026-05,31,3371965045,1621808055,4993773100,0.3248,31,4696269,236863,325189,4459386,236863,11.774193548387096,0.055846966824576245,0.17196059656095447,3.4094528012003438,5.043642091200483,94.95593203881634,137.2899102012556
sparklend,2026-06,30,3390879701,1603218381,4994098083,0.321,30,4547207,361401,600282,4185784,361401,12.166666666666666,0.08804483666365348,0.2742636656434393,3.450830684639795,7.9477578214495175,92.05175836507993,166.0985996164925
sparklend,2026-07,31,3593919188,1780118944,5374038132,0.3312,31,4842293,418292,192897,4423998,418292,11.774193548387096,0.09164525533258601,0.2766697688568577,3.2028250242586034,8.638304208357486,91.36163383752283,46.11539307469423
sparklend,2026-08,31,4037067219,1910818790,5947886008,0.3213,31,5051418,430266,892383,4621155,430266,11.774193548387096,0.0851737096924256,0.265123788179324,3.112611909463505,8.51772710157821,91.48233228768635,207.40263000097613
morpho-blue,2024-02,29,63163664,41750426,104914090,0.3979,15,98602,0,0,98602,0,24.333333333333332,0.0,0.0,5.746804435799848,0.0,100.0,
morpho-blue,2024-03,31,155203963,92185343,247389306,0.3726,31,940461,0,0,940461,0,11.774193548387096,0.0,0.0,12.011855115307947,0.0,100.0,
morpho-blue,2024-04,30,596097334,337347185,933444520,0.3614,30,6698319,0,0,6698319,0,12.166666666666666,0.0,0.0,24.157964887123633,0.0,100.0,
morpho-blue,2024-05,31,783715821,437109694,1220825515,0.358,31,5002338,0,0,5002338,0,11.774193548387096,0.0,0.0,13.474534336557545,0.0,100.0,
morpho-blue,2024-06,30,1012962282,615204527,1628166809,0.3779,30,5594876,0,0,5594876,0,12.166666666666666,0.0,0.0,11.06477412727708,0.0,100.0,
morpho-blue,2024-07,31,1061363627,619207351,1680570978,0.3685,31,4567405,0,0,4567405,0,11.774193548387096,0.0,0.0,8.684895358077066,0.0,100.0,
morpho-blue,2024-08,30,999593861,568834994,1568428855,0.3627,31,4036182,0,0,4036182,0,11.774193548387096,0.0,0.0,8.354406561793933,0.0,100.0,
morpho-blue,2024-09,27,954692840,560196878,1514889718,0.3698,30,2735512,0,0,2735512,0,12.166666666666666,0.0,0.0,5.94113676346955,0.0,100.0,
morpho-blue,2024-10,31,1029327089,606714233,1636041322,0.3708,31,2638407,0,0,2638407,0,11.774193548387096,0.0,0.0,5.120221842136898,0.0,100.0,
morpho-blue,2024-11,30,1432273235,853302927,2285576162,0.3733,30,5933055,0,0,5933055,0,12.166666666666666,0.0,0.0,8.459540008117187,0.0,100.0,
morpho-blue,2024-12,31,2566096487,1581808558,4147905044,0.3814,31,11805155,0,0,11805155,0,11.774193548387096,0.0,0.0,8.787168278723504,0.0,100.0,
morpho-blue,2025-01,31,3382494257,2174422319,5556916576,0.3913,31,10925567,0,0,10925567,0,11.774193548387096,0.0,0.0,5.916042130354484,0.0,100.0,
morpho-blue,2025-02,28,3458205282,2128779019,5586984301,0.381,28,10041446,0,0,10041446,0,13.035714285714286,0.0,0.0,6.148943591755147,0.0,100.0,
morpho-blue,2025-03,31,2991141624,1784689723,4775831347,0.3737,31,7093291,0,0,7093291,0,11.774193548387096,0.0,0.0,4.679680734006908,0.0,100.0,
morpho-blue,2025-04,30,2651718228,1696235083,4347953311,0.3901,30,5623976,0,0,5623976,0,12.166666666666666,0.0,0.0,4.033936216689685,0.0,100.0,
morpho-blue,2025-05,31,3203146622,1749728787,4952875409,0.3533,31,6348073,0,0,6348073,0,11.774193548387096,0.0,0.0,4.271715749127143,0.0,100.0,
morpho-blue,2025-06,30,3938856517,2150601030,6089457547,0.3532,30,8119317,0,0,8119317,0,12.166666666666666,0.0,0.0,4.5933681850789405,0.0,100.0,
morpho-blue,2025-07,31,5062362367,2686058011,7748420378,0.3467,31,12155427,0,0,12155427,0,11.774193548387096,0.0,0.0,5.328267281465289,0.0,100.0,
morpho-blue,2025-08,31,6414744307,3258013255,9672757562,0.3368,31,19058274,0,0,19058274,0,11.774193548387096,0.0,0.0,6.887504414839881,0.0,100.0,
